query,intent,location
Is the waiting room open today?,ask_hours,waiting room
Tell me opening hours of auditorium.,ask_hours,auditorium
Are there workshops at elevator?,find_event,elevator
What time does the dining room open?,ask_hours,dining room
Find programs happening in auditorium.,find_event,auditorium
Where can I access the staircase?,find_location,staircase
What time does the meeting room open?,ask_hours,meeting room
Where can I access the laboratory?,find_location,laboratory
Navigate me to waiting room.,ask_direction,waiting room
What time does the museum open?,ask_hours,museum
Find programs happening in laboratory.,find_event,laboratory
Navigate me to bookstore.,ask_direction,bookstore
What events are happening in the dining room?,find_event,dining room
Show me the location of bookstore.,find_location,bookstore
Give me directions to the staircase.,ask_direction,staircase
Where can I access the computer room?,find_location,computer room
Can you locate the waiting room?,find_location,waiting room
Where can I access the corridor?,find_location,corridor
How do I get to the meeting room?,ask_direction,meeting room
What time does the art studio open?,ask_hours,art studio
Find programs happening in bookstore.,find_event,bookstore
Give me directions to the music studio.,ask_direction,music studio
Show upcoming events at computer room.,find_event,computer room
Show me the location of cafeteria.,find_location,cafeteria
When does the library close?,ask_hours,library
Where can I access the museum?,find_location,museum
Are there workshops at meeting room?,find_event,meeting room
Any activities in the elevator?,find_event,elevator
When does the computer room close?,ask_hours,computer room
How do I get to the lobby?,ask_direction,lobby
Find the gym.,find_location,gym
I want to find the staircase.,find_location,staircase
Show me the location of music studio.,find_location,music studio
How can I reach the bookstore?,ask_direction,bookstore
Show the route to music studio.,ask_direction,music studio
Find the office.,find_location,office
Find programs happening in museum.,find_event,museum
What are the working hours for museum?,ask_hours,museum
Is the classroom open today?,ask_hours,classroom
How can I reach the lobby?,ask_direction,lobby
Find the office.,find_location,office
Tell me opening hours of gym.,ask_hours,gym
How can I reach the art studio?,ask_direction,art studio
Navigate me to lobby.,ask_direction,lobby
Find the bookstore.,find_location,bookstore
I want to find the staircase.,find_location,staircase
Show me the location of waiting room.,find_location,waiting room
I want to find the classroom.,find_location,classroom
How do I get to the corridor?,ask_direction,corridor
When does the music studio close?,ask_hours,music studio
How can I reach the office?,ask_direction,office
I want to find the classroom.,find_location,classroom
Where is the auditorium?,find_location,auditorium
Find programs happening in cafeteria.,find_event,cafeteria
What time does the staircase open?,ask_hours,staircase
How do I get to the laboratory?,ask_direction,laboratory
Show me the location of dining room.,find_location,dining room
Where is the museum?,find_location,museum
Tell me opening hours of music studio.,ask_hours,music studio
I want to find the dining room.,find_location,dining room
Find the museum.,find_location,museum
How do I get to the elevator?,ask_direction,elevator
Show me the location of computer room.,find_location,computer room
Navigate me to art studio.,ask_direction,art studio
Any activities in the meeting room?,find_event,meeting room
Where can I access the office?,find_location,office
I want to find the laboratory.,find_location,laboratory
Show the route to staircase.,ask_direction,staircase
How do I get to the museum?,ask_direction,museum
What events are happening in the office?,find_event,office
Show me the location of locker room.,find_location,locker room
